read , READ
x , IDENTIFIER
1 , NUMBER
; , SEMICOLON
read , READ
y , IDENTIFIER
; , SEMICOLON
z , IDENTIFIER
:= , ASSIGN
10 , NUMBER
; , SEMICOLON
if , IF
x , IDENTIFIER
1 , NUMBER
< , LESSTHAN
y , IDENTIFIER
then , THEN
z , IDENTIFIER
:= , ASSIGN
z , IDENTIFIER
+ , PLUS
1 , NUMBER
; , SEMICOLON
else , ELSE
z , IDENTIFIER
:= , ASSIGN
z , IDENTIFIER
- , MINUS
2 , NUMBER
; , SEMICOLON
end , END
; , SEMICOLON
repeat , REPEAT
x , IDENTIFIER
1 , NUMBER
:= , ASSIGN
x , IDENTIFIER
1 , NUMBER
* , MULT
( , OPENBRACKET
y , IDENTIFIER
+ , PLUS
z , IDENTIFIER
) , CLOSEDBRACKET
/ , DIV
3 , NUMBER
; , SEMICOLON
write , WRITE
x , IDENTIFIER
1 , NUMBER
; , SEMICOLON
if , IF
x , IDENTIFIER
1 , NUMBER
= , EQUAL
z , IDENTIFIER
then , THEN
write , WRITE
z , IDENTIFIER
; , SEMICOLON
end , END
; , SEMICOLON
until , UNTIL
x , IDENTIFIER
1 , NUMBER
< , LESSTHAN
5 , NUMBER
; , SEMICOLON
write , WRITE
z , IDENTIFIER
; , SEMICOLON
